,tweet_ids,tweets text,created_at,like_count,retweet_count,impression_count,toenglish,sentiment,percent
10,1781190630938743177,"Ashutosh Sharma's crucial knock of 61(28) gone in vain as MI won the match by 9 runs. 

MI 192/7(20)
@surya_14kumar 78(53)

@HarshalPatel23 3/31

PBKS 183(19.1)
Shashank Singh 41(25)

@Jaspritbumrah93 3/21
Coetzee 3/32

#PBKSvsMI - Match 33

#IPL2024 

#GreatestOfAllTime",2024-04-19 05:18:33+00:00,1,0,25,"Ashutosh Sharma's crucial knock of 61(28) gone in vain as MI won the match by 9 runs. 

MI 192/7(20)
@surya_14kumar 78(53)

@HarshalPatel23 3/31

PBKS 183(19.1)
Shashank Singh 41(25)

@Jaspritbumrah93 3/21
Coetzee 3/32

#PBKSvsMI - Match 33

#IPL2024 

#GreatestOfAllTime",Positive,72.33000000000001
11,1781190416467177898,"RT @MovieTamil4: Braking News 📰 

- #ThalapathyVijay will reach Chennai tonight for casting his vote tomorrow. 🤗
- #GreatestOfAllTime shoot…",2024-04-19 05:17:42+00:00,0,47,0,"RT @MovieTamil4: Braking News 📰 

- #ThalapathyVijay will reach Chennai tonight for casting his vote tomorrow. 🤗
- #GreatestOfAllTime shoot…",Positive,95.22
12,1781188411543724471,"RT @MovieTamil4: Braking News 📰 

- #ThalapathyVijay will reach Chennai tonight for casting his vote tomorrow. 🤗
- #GreatestOfAllTime shoot…",2024-04-19 05:09:44+00:00,0,47,0,"RT @MovieTamil4: Braking News 📰 

- #ThalapathyVijay will reach Chennai tonight for casting his vote tomorrow. 🤗
- #GreatestOfAllTime shoot…",Positive,95.22
13,1781185005269729724,"RT @Surya_thalaiva2: நாளைய முதலமைச்சர் இன்று வாக்களிக்க போகிறார் 🔥

#GreatestOfAllTime @Actorvijay 
https://t.co/b82RMIDpag",2024-04-19 04:56:12+00:00,0,29,0,"RT @Surya_thalaiva2: Tomorrow's Chief Minister is going to vote today 🔥

#GreatestOfAllTime @Actorvijay
https://t.co/b82RMIDpag",Positive,90.74
14,1781184168338014217,"RT @MovieTamil4: Braking News 📰 

- #ThalapathyVijay will reach Chennai tonight for casting his vote tomorrow. 🤗
- #GreatestOfAllTime shoot…",2024-04-19 04:52:53+00:00,0,47,0,"RT @MovieTamil4: Braking News 📰 

- #ThalapathyVijay will reach Chennai tonight for casting his vote tomorrow. 🤗
- #GreatestOfAllTime shoot…",Positive,95.22
15,1781183705106837545,"RT @VTMOffl: Wait for king Thalapathy @actorvijay entry 🥵🔥🔥

#GreatestOfAllTime  #GhilliReRelease 
https://t.co/8egc1T3Hfm",2024-04-19 04:51:02+00:00,0,48,0,"RT @VTMOffl: Wait for king Thalapathy @actorvijay entry 🥵🔥🔥

#GreatestOfAllTime  #GhilliReRelease 
https://t.co/8egc1T3Hfm",Positive,92.16
16,1781182928908939357,"RT @TamilanKarthik_: Thank You @BTP_Offl Boyz For This Memorable Moments 😍❤❤
Love you all❤😍

@actorvijay 
@rajakumaari

 #Leo #GreatestOfAl…",2024-04-19 04:47:57+00:00,0,16,0,"RT @TamilanKarthik_: Thank You @BTP_Offl Boyz For This Memorable Moments 😍❤❤
Love you all❤😍

@actorvijay 
@rajakumaari

 #Leo #GreatestOfAl…",Positive,98.14
17,1781182753549189125,"@tolly_hub 1 #Kalki2829AD  (600 cr)
2. #Pushpa2  (1000 cr)
3. #DevaraPart1 (400 cr)
4. #Kanguva (700 cr)
5. #Vettiyan (300 cr)
6. #Gamechanger (400 cr)
7. #GreatestOfAllTime (450 cr)
8. #Indian2 ( 400 cr)",2024-04-19 04:47:15+00:00,0,0,159,"@tolly_hub 1 #Kalki2829AD (600 cr)
2. #Pushpa2 (1000 cr)
3. #DevaraPart1 (400 cr)
4. #Kanguva (700 cr)
5. #Vettiyan (300 cr)
6. #Gamechanger (400 cr)
7. #GreatestOfAllTime (450 cr)
8. #Indian2 (400 cr)",Positive,52.92
18,1781182401873661978,"RT @TamilanKarthik_: Thank You @BTP_Offl Boyz For This Memorable Moments 😍❤❤
Love you all❤😍

@actorvijay 
@rajakumaari

 #Leo #GreatestOfAl…",2024-04-19 04:45:52+00:00,0,16,0,"RT @TamilanKarthik_: Thank You @BTP_Offl Boyz For This Memorable Moments 😍❤❤
Love you all❤😍

@actorvijay 
@rajakumaari

 #Leo #GreatestOfAl…",Positive,98.14
19,1781182017729921313,"RT @StarVersatile: #GreatestOfAllTime 

@actorvijay
@thisisysr ❤️✨ 
@vp_offl @vp_offl https://t.co/dgV6z8IxrM",2024-04-19 04:44:20+00:00,0,8,0,"RT @StarVersatile: #GreatestOfAllTime 

@actorvijay
@thisisysr ❤️✨ 
@vp_offl @vp_offl https://t.co/dgV6z8IxrM",Positive,95.69
20,1781180252355727804,"RT @Surya_thalaiva2: நாளைய முதலமைச்சர் இன்று வாக்களிக்க போகிறார் 🔥

#GreatestOfAllTime @Actorvijay 
https://t.co/b82RMIDpag",2024-04-19 04:37:19+00:00,0,29,0,"RT @Surya_thalaiva2: Tomorrow's Chief Minister is going to vote today 🔥

#GreatestOfAllTime @Actorvijay
https://t.co/b82RMIDpag",Positive,90.74
21,1781179698065633610,"RT @tolly_hub: 2024 biggest Indian films

1. #Kalki2829AD  (1000 cr)
2. #Pushpa2  (1200 cr)
3. #DevaraPart1 (500 cr)
4. #Kanguva (500 cr)
5…",2024-04-19 04:35:07+00:00,0,4,0,"RT @tolly_hub: 2024 biggest Indian films

1. #Kalki2829AD (1000 cr)
2. #Pushpa2 (1200 cr)
3. #DevaraPart1 (500 cr)
4. #Kanguva (500 cr)
5…",Neutral,51.29
22,1781179402958557548,"RT @tolly_hub: 2024 biggest Indian films

1. #Kalki2829AD  (1000 cr)
2. #Pushpa2  (1200 cr)
3. #DevaraPart1 (500 cr)
4. #Kanguva (500 cr)
5…",2024-04-19 04:33:57+00:00,0,4,0,"RT @tolly_hub: 2024 biggest Indian films

1. #Kalki2829AD (1000 cr)
2. #Pushpa2 (1200 cr)
3. #DevaraPart1 (500 cr)
4. #Kanguva (500 cr)
5…",Neutral,51.29
23,1781179367625994390,"RT @ManuVijay99: ᴋᴀᴛʜɪʀᴇꜱᴀɴ🥵

@actorvijay 
{ ʀᴇᴛᴏᴜᴄʜ https://t.co/iypNC1RGhX }

#ThalapathyVijay𓃵 #GreatestOfAllTime https://t.co/OpVdIAZppB",2024-04-19 04:33:48+00:00,0,2,0,"RT @ManuVijay99: ᴋᴀᴛʜɪʀᴇꜱᴀɴ🥵

@actorvijay
{ ʀᴇᴛᴏᴜᴄʜ https://t.co/iypNC1RGhX }

#ThalapathyVijay𓃵 #GreatestOfAllTime https://t.co/OpVdIAZppB",Positive,74.63
24,1781179194124488989,"RT @MovieTamil4: Braking News 📰 

- #ThalapathyVijay will reach Chennai tonight for casting his vote tomorrow. 🤗
- #GreatestOfAllTime shoot…",2024-04-19 04:33:07+00:00,0,47,0,"RT @MovieTamil4: Braking News 📰 

- #ThalapathyVijay will reach Chennai tonight for casting his vote tomorrow. 🤗
- #GreatestOfAllTime shoot…",Positive,95.22
25,1781179150444777571,"#GreatestOfAllTime
#YuvanShankarRaja
#WhistlePodu
Maatran venum naa Goo walkkkku... 🥰",2024-04-19 04:32:56+00:00,0,0,27,"#GreatestOfAllTime
#YuvanShankarRaja
#WhistlePodu
Maatran venom naa Goo walkkkku... 🥰",Positive,96.37
26,1781178980973817865,"RT @tolly_hub: 2024 biggest Indian films

1. #Kalki2829AD  (1000 cr)
2. #Pushpa2  (1200 cr)
3. #DevaraPart1 (500 cr)
4. #Kanguva (500 cr)
5…",2024-04-19 04:32:16+00:00,0,4,0,"RT @tolly_hub: 2024 biggest Indian films

1. #Kalki2829AD (1000 cr)
2. #Pushpa2 (1200 cr)
3. #DevaraPart1 (500 cr)
4. #Kanguva (500 cr)
5…",Neutral,51.29
27,1781178658218238076,"RT @Surya_thalaiva2: நாளைய முதலமைச்சர் இன்று வாக்களிக்க போகிறார் 🔥

#GreatestOfAllTime @Actorvijay 
https://t.co/b82RMIDpag",2024-04-19 04:30:59+00:00,0,29,0,"RT @Surya_thalaiva2: Tomorrow's Chief Minister is going to vote today 🔥

#GreatestOfAllTime @Actorvijay
https://t.co/b82RMIDpag",Positive,90.74
28,1781178632549158965,"RT @RAO_Offl: நாளை நடிகர் #Ajithkumar𓃵 அவரது நண்பரானா #ThalapathyVijay இன் கட்சிக்கு வாக்காளிக்க போவதாக தகவல்..!!🔥🔥

AK &amp; VJ Bonding 🫂🔥😭

#…",2024-04-19 04:30:53+00:00,0,31,0,"RT @RAO_Offl: Actor #Ajithkumar𓃵 will vote for his friend #ThalapathyVijay's party tomorrow..!!🔥🔥

AK &amp; VJ Bonding 🫂🔥😭

#…",Positive,88.9
29,1781177101892415523,"RT @ManuVijay99: ᴋᴀᴛʜɪʀᴇꜱᴀɴ🥵

@actorvijay 
{ ʀᴇᴛᴏᴜᴄʜ https://t.co/iypNC1RGhX }

#ThalapathyVijay𓃵 #GreatestOfAllTime https://t.co/OpVdIAZppB",2024-04-19 04:24:48+00:00,0,2,0,"RT @ManuVijay99: ᴋᴀᴛʜɪʀᴇꜱᴀɴ🥵

@actorvijay
{ ʀᴇᴛᴏᴜᴄʜ https://t.co/iypNC1RGhX }

#ThalapathyVijay𓃵 #GreatestOfAllTime https://t.co/OpVdIAZppB",Positive,74.63
30,1781175700395106376,"RT @MovieTamil4: Braking News 📰 

- #ThalapathyVijay will reach Chennai tonight for casting his vote tomorrow. 🤗
- #GreatestOfAllTime shoot…",2024-04-19 04:19:14+00:00,0,47,0,"RT @MovieTamil4: Braking News 📰 

- #ThalapathyVijay will reach Chennai tonight for casting his vote tomorrow. 🤗
- #GreatestOfAllTime shoot…",Positive,95.22
31,1781175632799654253,"RT @tolly_hub: 2024 biggest Indian films

1. #Kalki2829AD  (1000 cr)
2. #Pushpa2  (1200 cr)
3. #DevaraPart1 (500 cr)
4. #Kanguva (500 cr)
5…",2024-04-19 04:18:58+00:00,0,4,0,"RT @tolly_hub: 2024 biggest Indian films

1. #Kalki2829AD (1000 cr)
2. #Pushpa2 (1200 cr)
3. #DevaraPart1 (500 cr)
4. #Kanguva (500 cr)
5…",Neutral,51.29
32,1781175462066327873,"RT @Surya_thalaiva2: நாளைய முதலமைச்சர் இன்று வாக்களிக்க போகிறார் 🔥

#GreatestOfAllTime @Actorvijay 
https://t.co/b82RMIDpag",2024-04-19 04:18:17+00:00,0,29,0,"RT @Surya_thalaiva2: Tomorrow's Chief Minister is going to vote today 🔥

#GreatestOfAllTime @Actorvijay
https://t.co/b82RMIDpag",Positive,90.74
33,1781175382294790338,"2024 biggest Indian films

1. #Kalki2829AD  (1000 cr)
2. #Pushpa2  (1200 cr)
3. #DevaraPart1 (500 cr)
4. #Kanguva (500 cr)
5. #Vettiyan (400 cr)
6. #Gamechanger (400 cr)
7. #GreatestOfAllTime (400 cr)
8. #Indian2 ( 400 cr)

2025 biggest Indian films

1. #Sikandar (1000 cr… https://t.co/47D2Mt8dTe",2024-04-19 04:17:58+00:00,27,4,1019,"2024 biggest Indian films

1. #Kalki2829AD  (1000 cr)
2. #Pushpa2  (1200 cr)
3. #DevaraPart1 (500 cr)
4. #Kanguva (500 cr)
5. #Vettiyan (400 cr)
6. #Gamechanger (400 cr)
7. #GreatestOfAllTime (400 cr)
8. #Indian2 ( 400 cr)

2025 biggest Indian films

1. #Sikandar (1000 cr… https://t.co/47D2Mt8dTe",Positive,45.65
34,1781175005335945714,"ᴋᴀᴛʜɪʀᴇꜱᴀɴ🥵

@actorvijay 
{ ʀᴇᴛᴏᴜᴄʜ https://t.co/iypNC1RGhX }

#ThalapathyVijay𓃵 #GreatestOfAllTime https://t.co/OpVdIAZppB",2024-04-19 04:16:28+00:00,8,2,117,"ᴋᴀᴛʜɪʀᴇꜱᴀɴ🥵

@actorvijay
{ ʀᴇᴛᴏᴜᴄʜ https://t.co/iypNC1RGhX }

#ThalapathyVijay𓃵 #GreatestOfAllTime https://t.co/OpVdIAZppB",Positive,81.22
35,1781174882719637903,"RT @VTMOffl: Wait for king Thalapathy @actorvijay entry 🥵🔥🔥

#GreatestOfAllTime  #GhilliReRelease 
https://t.co/8egc1T3Hfm",2024-04-19 04:15:59+00:00,0,48,0,"RT @VTMOffl: Wait for king Thalapathy @actorvijay entry 🥵🔥🔥

#GreatestOfAllTime  #GhilliReRelease 
https://t.co/8egc1T3Hfm",Positive,92.16
36,1781173512478289923,"RT @SriLankaVijayFc: #Ghilli #Srilanka theatre List is here ,&amp; re-release by @Ayngaran_offl 🔥❤️

Book your Tickets now 

BMS - https://t.co…",2024-04-19 04:10:32+00:00,0,71,0,"RT @SriLankaVijayFc: #Ghilli #Srilanka theatre List is here ,&amp; re-release by @Ayngaran_offl 🔥❤️

Book your Tickets now 

BMS - https://t.co…",Positive,91.46
37,1781173165798101163,"RT @RAO_Offl: நாளை நடிகர் #Ajithkumar𓃵 அவரது நண்பரானா #ThalapathyVijay இன் கட்சிக்கு வாக்காளிக்க போவதாக தகவல்..!!🔥🔥

AK &amp; VJ Bonding 🫂🔥😭

#…",2024-04-19 04:09:09+00:00,0,31,0,"RT @RAO_Offl: Actor #Ajithkumar𓃵 will vote for his friend #ThalapathyVijay's party tomorrow..!!🔥🔥

AK &amp; VJ Bonding 🫂🔥😭

#…",Positive,88.9
38,1781172460882362628,"RT @Surya_thalaiva2: நாளைய முதலமைச்சர் இன்று வாக்களிக்க போகிறார் 🔥

#GreatestOfAllTime @Actorvijay 
https://t.co/b82RMIDpag",2024-04-19 04:06:21+00:00,0,29,0,"RT @Surya_thalaiva2: Tomorrow's Chief Minister is going to vote today 🔥

#GreatestOfAllTime @Actorvijay
https://t.co/b82RMIDpag",Positive,90.74
39,1781172120812445733,"RT @VTMOffl: Wait for king Thalapathy @actorvijay entry 🥵🔥🔥

#GreatestOfAllTime  #GhilliReRelease 
https://t.co/8egc1T3Hfm",2024-04-19 04:05:00+00:00,0,48,0,"RT @VTMOffl: Wait for king Thalapathy @actorvijay entry 🥵🔥🔥

#GreatestOfAllTime  #GhilliReRelease 
https://t.co/8egc1T3Hfm",Positive,92.16
40,1781171629592387704,"RT @triomusictn41: soul of yuvan with his  melting
 voice  makes chill 💛🎉

forever yuvanism 💯🎸 

#WhistlePodu 
#GreatestOfAllTime 
#Yuvanis…",2024-04-19 04:03:03+00:00,0,18,0,"RT @triomusictn41: soul of yuvan with his  melting
 voice  makes chill 💛🎉

forever yuvanism 💯🎸 

#WhistlePodu 
#GreatestOfAllTime 
#Yuvanis…",Positive,96.08
41,1781170350811955481,"RT @SriLankaVijayFc: #Ghilli #Srilanka theatre List is here ,&amp; re-release by @Ayngaran_offl 🔥❤️

Book your Tickets now 

BMS - https://t.co…",2024-04-19 03:57:58+00:00,0,71,0,"RT @SriLankaVijayFc: #Ghilli #Srilanka theatre List is here ,&amp; re-release by @Ayngaran_offl 🔥❤️

Book your Tickets now 

BMS - https://t.co…",Positive,91.46
42,1781169862787969439,"RT @TamilanKarthik_: Thank You @BTP_Offl Boyz For This Memorable Moments 😍❤❤
Love you all❤😍

@actorvijay 
@rajakumaari

 #Leo #GreatestOfAl…",2024-04-19 03:56:02+00:00,0,16,0,"RT @TamilanKarthik_: Thank You @BTP_Offl Boyz For This Memorable Moments 😍❤❤
Love you all❤😍

@actorvijay 
@rajakumaari

 #Leo #GreatestOfAl…",Positive,98.14
43,1781169555303489751,"RT @MovieTamil4: Braking News 📰 

- #ThalapathyVijay will reach Chennai tonight for casting his vote tomorrow. 🤗
- #GreatestOfAllTime shoot…",2024-04-19 03:54:49+00:00,0,47,0,"RT @MovieTamil4: Braking News 📰 

- #ThalapathyVijay will reach Chennai tonight for casting his vote tomorrow. 🤗
- #GreatestOfAllTime shoot…",Positive,95.22
44,1781168519167742110,"RT @Surya_thalaiva2: தமிழக வெற்றிக் கழகத்திற்கு மட்டுமே நம் வாக்கு 2026 💯

#GreatestOfAllTime @actorvijay
https://t.co/uoGuPHl1ma",2024-04-19 03:50:42+00:00,0,98,0,"RT @Surya_thalaiva2: Our vote is 2026 💯 only for Tamil Nadu Vetri Kazhagam

#GreatestOfAllTime @actorvijay
https://t.co/uoGuPHl1ma",Positive,81.57
45,1781168068959555972,"RT @Surya_thalaiva2: நாளைய முதலமைச்சர் இன்று வாக்களிக்க போகிறார் 🔥

#GreatestOfAllTime @Actorvijay 
https://t.co/b82RMIDpag",2024-04-19 03:48:54+00:00,0,29,0,"RT @Surya_thalaiva2: Tomorrow's Chief Minister is going to vote today 🔥

#GreatestOfAllTime @Actorvijay
https://t.co/b82RMIDpag",Positive,90.74
46,1781166986791174510,"RT @RAO_Offl: நாளை நடிகர் #Ajithkumar𓃵 அவரது நண்பரானா #ThalapathyVijay இன் கட்சிக்கு வாக்காளிக்க போவதாக தகவல்..!!🔥🔥

AK &amp; VJ Bonding 🫂🔥😭

#…",2024-04-19 03:44:36+00:00,0,31,0,"RT @RAO_Offl: Actor #Ajithkumar𓃵 will vote for his friend #ThalapathyVijay's party tomorrow..!!🔥🔥

AK &amp; VJ Bonding 🫂🔥😭

#…",Positive,88.9
47,1781166132843643237,"RT @VTMOffl: Wait for king Thalapathy @actorvijay entry 🥵🔥🔥

#GreatestOfAllTime  #GhilliReRelease 
https://t.co/8egc1T3Hfm",2024-04-19 03:41:13+00:00,0,48,0,"RT @VTMOffl: Wait for king Thalapathy @actorvijay entry 🥵🔥🔥

#GreatestOfAllTime  #GhilliReRelease 
https://t.co/8egc1T3Hfm",Positive,92.16
48,1781165906716172733,"RT @Surya_thalaiva2: நாளைய முதலமைச்சர் இன்று வாக்களிக்க போகிறார் 🔥

#GreatestOfAllTime @Actorvijay 
https://t.co/b82RMIDpag",2024-04-19 03:40:19+00:00,0,29,0,"RT @Surya_thalaiva2: Tomorrow's Chief Minister is going to vote today 🔥

#GreatestOfAllTime @Actorvijay
https://t.co/b82RMIDpag",Positive,90.74
49,1781165704894357669,"@PTI_News @BJP4TamilNadu In the “ VOTING BOTH” we are equal. Happy Friday Morning ⛅️🇮🇳🗳️✊🪷
#Friday #April19 #CSK #GreatestOfAllTime #NextGeneration 🇮🇳🗳️✊🫶🌊 https://t.co/uCFmXagKT2",2024-04-19 03:39:31+00:00,1,0,163,"@PTI_News @BJP4TamilNadu In the “ VOTING BOTH” we are equal. Happy Friday Morning ⛅️🇮🇳🗳️✊🪷
#Friday #April19 #CSK #GreatestOfAllTime #NextGeneration 🇮🇳🗳️✊🫶🌊 https://t.co/uCFmXagKT2",Positive,95.13000000000001
50,1781165616185184397,"RT @Surya_thalaiva_: சிந்தித்து வாக்களிப்போம் மக்களே 💯

#தமிழகவெற்றிக்கழகம்‌ #GreatestOfAllTime @actorvijay
https://t.co/O2AEtKYh0y",2024-04-19 03:39:10+00:00,0,9,0,"RT @Surya_thalaiva_: Let's think and vote people 💯

#தமிழ்குவிட்டிக்கு஗்கும் #GreatestOfAllTime @actorvijay
https://t.co/O2AEtKYh0y",Positive,85.8
51,1781165109832036441,"RT @Surya_thalaiva2: நாளைய முதலமைச்சர் இன்று வாக்களிக்க போகிறார் 🔥

#GreatestOfAllTime @Actorvijay 
https://t.co/b82RMIDpag",2024-04-19 03:37:09+00:00,0,29,0,"RT @Surya_thalaiva2: Tomorrow's Chief Minister is going to vote today 🔥

#GreatestOfAllTime @Actorvijay
https://t.co/b82RMIDpag",Positive,90.74
52,1781164568691319247,"RT @TamilanKarthik_: Thank You @BTP_Offl Boyz For This Memorable Moments 😍❤❤
Love you all❤😍

@actorvijay 
@rajakumaari

 #Leo #GreatestOfAl…",2024-04-19 03:35:00+00:00,0,16,0,"RT @TamilanKarthik_: Thank You @BTP_Offl Boyz For This Memorable Moments 😍❤❤
Love you all❤😍

@actorvijay 
@rajakumaari

 #Leo #GreatestOfAl…",Positive,98.14
53,1781162554871734650,"RT @Surya_thalaiva2: நாளைய முதலமைச்சர் இன்று வாக்களிக்க போகிறார் 🔥

#GreatestOfAllTime @Actorvijay 
https://t.co/b82RMIDpag",2024-04-19 03:27:00+00:00,0,29,0,"RT @Surya_thalaiva2: Tomorrow's Chief Minister is going to vote today 🔥

#GreatestOfAllTime @Actorvijay
https://t.co/b82RMIDpag",Positive,90.74
54,1781162207126212914,"RT @Surya_thalaiva2: நாளைய முதலமைச்சர் இன்று வாக்களிக்க போகிறார் 🔥

#GreatestOfAllTime @Actorvijay 
https://t.co/b82RMIDpag",2024-04-19 03:25:37+00:00,0,29,0,"RT @Surya_thalaiva2: Tomorrow's Chief Minister is going to vote today 🔥

#GreatestOfAllTime @Actorvijay
https://t.co/b82RMIDpag",Positive,90.74
55,1781161461701894648,"RT @Surya_thalaiva2: நாளைய முதலமைச்சர் இன்று வாக்களிக்க போகிறார் 🔥

#GreatestOfAllTime @Actorvijay 
https://t.co/b82RMIDpag",2024-04-19 03:22:39+00:00,0,29,0,"RT @Surya_thalaiva2: Tomorrow's Chief Minister is going to vote today 🔥

#GreatestOfAllTime @Actorvijay
https://t.co/b82RMIDpag",Positive,90.74
56,1781161339412783194,"RT @MovieTamil4: Braking News 📰 

- #ThalapathyVijay will reach Chennai tonight for casting his vote tomorrow. 🤗
- #GreatestOfAllTime shoot…",2024-04-19 03:22:10+00:00,0,47,0,"RT @MovieTamil4: Braking News 📰 

- #ThalapathyVijay will reach Chennai tonight for casting his vote tomorrow. 🤗
- #GreatestOfAllTime shoot…",Positive,95.22
57,1781161211134116125,"RT @VTMOffl: Wait for king Thalapathy @actorvijay entry 🥵🔥🔥

#GreatestOfAllTime  #GhilliReRelease 
https://t.co/8egc1T3Hfm",2024-04-19 03:21:39+00:00,0,48,0,"RT @VTMOffl: Wait for king Thalapathy @actorvijay entry 🥵🔥🔥

#GreatestOfAllTime  #GhilliReRelease 
https://t.co/8egc1T3Hfm",Positive,92.16
58,1781159588387320138,"RT @MovieTamil4: Braking News 📰 

- #ThalapathyVijay will reach Chennai tonight for casting his vote tomorrow. 🤗
- #GreatestOfAllTime shoot…",2024-04-19 03:15:12+00:00,0,47,0,"RT @MovieTamil4: Braking News 📰 

- #ThalapathyVijay will reach Chennai tonight for casting his vote tomorrow. 🤗
- #GreatestOfAllTime shoot…",Positive,95.22
59,1781159492539101350,"I allow myself one harmless Slash meme per year ☺️🤖💕

#buckethead #bucketheadland #bucketheadpikes #bucketheadmemes #progressiverock #progressivemetal #greatestofalltime #guitarist #avantgarde #rock #funk #blues #music #slash #gunsnroses https://t.co/YrqCvO4kuU",2024-04-19 03:14:50+00:00,1,0,27,"I allow myself one harmless Slash meme per year ☺️🤖💕

#buckethead #bucketheadland #bucketheadpikes #bucketheadmemes #progressiverock #progressivemetal #greatestofalltime #guitarist #avantgarde #rock #funk #blues #music #slash #gunsnroses https://t.co/YrqCvO4kuU",Positive,92.31
60,1781159352679956751,"RT @MovieTamil4: Braking News 📰 

- #ThalapathyVijay will reach Chennai tonight for casting his vote tomorrow. 🤗
- #GreatestOfAllTime shoot…",2024-04-19 03:14:16+00:00,0,47,0,"RT @MovieTamil4: Braking News 📰 

- #ThalapathyVijay will reach Chennai tonight for casting his vote tomorrow. 🤗
- #GreatestOfAllTime shoot…",Positive,95.22
61,1781158968272069026,"RT @Surya_thalaiva2: தமிழக வெற்றிக் கழகத்திற்கு மட்டுமே நம் வாக்கு 2026 💯

#GreatestOfAllTime @actorvijay
https://t.co/uoGuPHl1ma",2024-04-19 03:12:45+00:00,0,98,0,"RT @Surya_thalaiva2: Our vote is 2026 💯 only for Tamil Nadu Vetri Kazhagam

#GreatestOfAllTime @actorvijay
https://t.co/uoGuPHl1ma",Positive,81.57
